2022-03-16 16:26:18,326 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:26:28,550 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 16:26:45,653 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 16:40:44,373 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:40:52,678 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-03-16 16:45:19,692 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:45:52,608 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-03-16 16:45:53,614 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-16 16:45:53,615 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:50:20,535 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:50:23,717 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-03-16 16:50:24,722 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-16 16:50:24,724 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:50:31,554 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 16:51:16,632 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 16:51:21,654 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 16:51:26,701 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 16:52:02,807 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:44:00,794 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:44:05,865 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:44:44,575 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:44:50,442 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:44:55,926 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:46:05,987 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:47:22,639 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:47:32,966 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:48:11,607 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:48:19,610 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:48:29,678 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:48:59,715 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:49:05,246 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:49:16,093 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:49:49,821 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:49:52,703 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:50:02,548 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
