2022-05-18 16:47:58,500 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:47:58,507 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:47:58,507 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:47:58,507 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:47:58,507 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:47:58,508 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:47:58,508 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:48:24,156 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:49:09,780 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:49:09,785 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:49:09,843 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:49:21,678 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:49:21,685 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:49:21,685 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:49:21,685 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:49:21,685 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:49:21,685 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:49:21,685 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:49:37,951 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:51:37,653 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:52:14,683 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:52:14,690 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:52:14,690 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:52:14,690 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:52:14,690 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:52:14,690 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:52:14,690 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:52:49,222 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 18:40:47,551 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
