2022-05-16 16:35:13,988 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-16 16:35:21,328 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-16 16:36:37,772 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-16 16:37:26,744 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-16 16:37:26,745 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-16 16:37:26,746 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-16 16:37:31,449 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-16 16:42:56,792 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-16 16:49:57,527 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-16 16:49:57,531 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-05-16 16:49:57,533 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-05-16 16:50:11,976 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-16 16:50:11,976 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-16 16:50:11,977 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-16 16:50:17,925 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-16 16:50:23,671 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-16 16:50:41,227 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-16 16:50:45,155 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-16 16:56:40,046 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-16 16:56:40,050 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-16 16:56:40,051 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2022-05-16 16:56:55,882 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-16 16:56:55,883 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-16 16:56:55,883 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-16 16:57:00,668 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-16 16:58:40,290 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-16 17:09:33,568 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-16 17:09:33,569 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-16 17:09:33,570 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-16 17:09:39,332 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
